un_adi,un_sehir,un_turu,un_aCilisYil,un_rektor
ABDULLAH GUL UNIVERSITESI,KAYSERI,DEVLET,2010,PROF.DR. CENGIZ YILMAZ
ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,ISTANBUL,VAKIF,2007,PROF.DR. AHMET SAHIN
ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,ADANA,DEVLET,2011,PROF.DR. MEHMET TUMAY
ADIYAMAN UNIVERSITESI,ADIYAMAN,DEVLET,2006,PROF.DR. MEHMET KELLES
AFYON KOCATEPE UNIVERSITESI,AFYONKARAHISAR,DEVLET,1992,PROF.DR. MEHMET KARAKAS
AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,AFYONKARAHISAR,DEVLET,2018,PROF.DR. NURULLAH OKUMUS
AGRI IBRAHIM CECEN UNIVERSITESI,AGRI,DEVLET,2007,PROF.DR. ABDULHALIK KARABULUT
AKDENIZ UNIVERSITESI,ANTALYA,DEVLET,1982,PROF.DR. OZLENEN OZKAN
AKSARAY UNIVERSITESI,AKSARAY,DEVLET,2006,PROF.DR. ALPAY ARIBAS
ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,ANTALYA,DEVLET,2015,PROF.DR. KENAN AHMET TURKDOGAN
ALANYA UNIVERSITESI,ANTALYA,VAKIF,2011,PROF.DR. MESUT GUNER
ALTINBAS UNIVERSITESI,ISTANBUL,VAKIF,2008,PROF.DR. CAGRI ERHAN
AMASYA UNIVERSITESI,AMASYA,DEVLET,2006,PROF.DR. AHMET HAKKI TURABI
ANADOLU UNIVERSITESI,ESKISEHIR,DEVLET,1973,PROF.DR. FUAT ERDAL
ANKA TEKNOLOJI UNIVERSITESI,ANKARA,VAKIF,2013,
ANKARA BILIM UNIVERSITESI,ANKARA,VAKIF,2020,PROF.DR. YAVUZ DEMIR
ANKARA HACI BAYRAM VELI UNIVERSITESI,ANKARA,DEVLET,2018,PROF.DR. MEHMET NACI BOSTANCI
ANKARA MEDIPOL UNIVERSITESI,ANKARA,VAKIF,2018,PROF.DR. AHMET ZEKI SENGIL
ANKARA MUZIK VE GUZEL SANATLAR UNIVERSITESI,ANKARA,DEVLET,2017,PROF.DR. ERHAN OZDEN
ANKARA SOSYAL BILIMLER UNIVERSITESI,ANKARA,DEVLET,2013,
ANKARA UNIVERSITESI,ANKARA,DEVLET,1946,PROF.DR. NECDET UNUVAR
ANKARA YILDIRIM BEYAZIT UNIVERSITESI,ANKARA,DEVLET,2010,PROF.DR. ALI CENGIZ KOSEOGLU
ANTALYA BELEK UNIVERSITESI,ANTALYA,VAKIF,2015,PROF.DR. MEHMET YAZICI
ANTALYA BILIM UNIVERSITESI,ANTALYA,VAKIF,2010,PROF.DR. SEMIH EKERCIN
ARDAHAN UNIVERSITESI,ARDAHAN,DEVLET,2008,PROF.DR. MEHMET BIBER
ARTVIN CORUH UNIVERSITESI,ARTVIN,DEVLET,2007,PROF.DR. MUSTAFA SITKI BILGIN
ATASEHIR ADIGUZEL MESLEK YUKSEKOKULU,ISTANBUL,VAKIF MYO,2014,
ATATURK UNIVERSITESI,ERZURUM,DEVLET,1957,PROF.DR. OMER COMAKLI
ATILIM UNIVERSITESI,ANKARA,VAKIF,1997,PROF.DR. SERKAN ERYILMAZ
AVRASYA UNIVERSITESI,TRABZON,VAKIF,2010,PROF.DR. FUSUN TERZIOGLU
AYDIN ADNAN MENDERES UNIVERSITESI,AYDIN,DEVLET,1992,PROF.DR. BULENT KENT
BAHCESEHIR UNIVERSITESI,ISTANBUL,VAKIF,1998,PROF.DR. ESRA HATIPOGLU
BALIKESIR UNIVERSITESI,BALIKESIR,DEVLET,1992,PROF.DR. YUCEL OGURLU
BANDIRMA ONYEDI EYLUL UNIVERSITESI,BALIKESIR,DEVLET,2015,
BARTIN UNIVERSITESI,BARTIN,DEVLET,2008,PROF.DR. ORHAN UZUN
BASKENT UNIVERSITESI,ANKARA,VAKIF,1994,PROF.DR. HAKAN OZKARDES
BATMAN UNIVERSITESI,BATMAN,DEVLET,2007,PROF.DR. IDRIS DEMIR
BAYBURT UNIVERSITESI,BAYBURT,DEVLET,2008,PROF.DR. MUTLU TURKMEN
BEYKOZ UNIVERSITESI,ISTANBUL,VAKIF,2016,PROF.DR. MEHMET DURMAN
BEZM-I ÂLEM VAKIF UNIVERSITESI,ISTANBUL,VAKIF,2010,PROF.DR. RUMEYZA KAZANCIOGLU
BILECIK SEYH EDEBALI UNIVERSITESI,BILECIK,DEVLET,2007,
BINGOL UNIVERSITESI,BINGOL,DEVLET,2007,PROF.DR. IBRAHIM CAPAK
BIRUNI UNIVERSITESI,ISTANBUL,VAKIF,2014,PROF.DR. ADNAN YUKSEL
BITLIS EREN UNIVERSITESI,BITLIS,DEVLET,2007,PROF.DR. NECMETTIN ELMASTAS
BOGAZICI UNIVERSITESI,ISTANBUL,DEVLET,1971,PROF.DR. MEHMET NACI INCI
BOLU ABANT IZZET BAYSAL UNIVERSITESI,BOLU,DEVLET,1992,PROF.DR. MUSTAFA ALISARLI
BURDUR MEHMET AKIF ERSOY UNIVERSITESI,BURDUR,DEVLET,2006,PROF.DR. HUSEYIN DALGAR
BURSA TEKNIK UNIVERSITESI,BURSA,DEVLET,2010,PROF.DR. NACI CAGLAR
BURSA ULUDAG UNIVERSITESI,BURSA,DEVLET,1975,PROF.DR. FERUDUN YILMAZ
CAG UNIVERSITESI,MERSIN,VAKIF,1997,PROF.DR. UNAL AY
CANAKKALE ONSEKIZ MART UNIVERSITESI,CANAKKALE,DEVLET,1992,PROF.DR. RAMAZAN CUNEYT ERENOGLU
CANKAYA UNIVERSITESI,ANKARA,VAKIF,1997,PROF.DR. HADI HAKAN MARAS
CANKIRI KARATEKIN UNIVERSITESI,CANKIRI,DEVLET,2007,PROF.DR. HARUN CIFTCI
CUKUROVA UNIVERSITESI,ADANA,DEVLET,1973,PROF.DR. MERYEM TUNCEL
DEMIROGLU BILIM UNIVERSITESI,ISTANBUL,VAKIF,2006,PROF.DR. CAVLAN CIFTCI
DICLE UNIVERSITESI,DIYARBAKIR,DEVLET,1973,PROF.DR. MEHMET KARAKOC
DOGUS UNIVERSITESI,ISTANBUL,VAKIF,1997,PROF.DR. TURGUT OZKAN
DOKUZ EYLUL UNIVERSITESI,IZMIR,DEVLET,1982,PROF.DR. MAHMUT AK
DUZCE UNIVERSITESI,DUZCE,DEVLET,2006,PROF.DR. NEDIM SOZBIR
EGE UNIVERSITESI,IZMIR,DEVLET,1955,PROF.DR. NECDET BUDAK
ERCIYES UNIVERSITESI,KAYSERI,DEVLET,1982,PROF.DR. FATIH ALTUN
ERZINCAN BINALI YILDIRIM UNIVERSITESI,ERZINCAN,DEVLET,2006,PROF.DR. AKIN LEVENT
ERZURUM TEKNIK UNIVERSITESI,ERZURUM,DEVLET,2010,PROF.DR. BULENT CAKMAK
ESKISEHIR OSMANGAZI UNIVERSITESI,ESKISEHIR,DEVLET,1993,PROF.DR. KAMIL COLAK
ESKISEHIR TEKNIK UNIVERSITESI,ESKISEHIR,DEVLET,2018,PROF.DR. ADNAN OZCAN
FATIH SULTAN MEHMET VAKIF UNIVERSITESI,ISTANBUL,VAKIF,2010,PROF.DR. NEVZAT SIMSEK
FENERBAHCE UNIVERSITESI,ISTANBUL,VAKIF,2016,PROF.DR. FATMA KANCA
FIRAT UNIVERSITESI,ELAZIG,DEVLET,1975,PROF.DR. FAHRETTIN GOKTAS
GALATASARAY UNIVERSITESI,ISTANBUL,DEVLET,1994,PROF.DR. ABDURRAHMAN MUHAMMED ULUDAG
GAZI UNIVERSITESI,ANKARA,DEVLET,1982,PROF.DR. MUSA YILDIZ
GAZIANTEP ISLAM BILIM VE TEKNOLOJI UNIVERSITESI,GAZIANTEP,DEVLET,2018,PROF.DR. SEHMUS DEMIR
GAZIANTEP UNIVERSITESI,GAZIANTEP,DEVLET,1987,PROF.DR. ARIF OZAYDIN
GEBZE TEKNIK UNIVERSITESI,KOCAELI,DEVLET,1992,PROF.DR. HACI ALI MANTAR
GIRESUN UNIVERSITESI,GIRESUN,DEVLET,2006,PROF.DR. YILMAZ CAN
GUMUSHANE UNIVERSITESI,GUMUSHANE,DEVLET,2008,PROF.DR. HALIL IBRAHIM ZEYBEK
HACETTEPE UNIVERSITESI,ANKARA,DEVLET,1967,PROF.DR. MEHMET CAHIT GURAN
HAKKARI UNIVERSITESI,HAKKARI,DEVLET,2008,PROF.DR. OMER PAKIS
HALIC UNIVERSITESI,ISTANBUL,VAKIF,1998,PROF.DR. NIHAT INANC
HARRAN UNIVERSITESI,SANLIURFA,DEVLET,1992,PROF.DR. MEHMET TAHIR GULLUOGLU
HASAN KALYONCU UNIVERSITESI,GAZIANTEP,VAKIF,2008,PROF.DR. TURKAY DERELI
HATAY MUSTAFA KEMAL UNIVERSITESI,HATAY,DEVLET,1992,PROF.DR. VEYSEL EREN
HITIT UNIVERSITESI,CORUM,DEVLET,2006,PROF.DR. ALI OSMAN OZTURK
IGDIR UNIVERSITESI,IGDIR,DEVLET,2008,PROF.DR. MEHMET HAKKI ALMA
ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,ISPARTA,DEVLET,2018,PROF.DR. YILMAZ CATAL
ISIK UNIVERSITESI,ISTANBUL,VAKIF,1996,PROF.DR. HASAN BULENT KAHRAMAN
IBN HALDUN UNIVERSITESI,ISTANBUL,VAKIF,2015,PROF.DR. ATILLA ARKAN
IHSAN DOGRAMACI BILKENT UNIVERSITESI,ANKARA,VAKIF,1985,PROF.DR. ABDURRAHMAN KURSAT AYDOGAN
INONU UNIVERSITESI,MALATYA,DEVLET,1975,PROF.DR. AHMET KIZILAY
ISKENDERUN TEKNIK UNIVERSITESI,HATAY,DEVLET,2015,PROF.DR. TOLGA DEPCI
ISTANBUL AREL UNIVERSITESI,ISTANBUL,VAKIF,2007,PROF.DR. AHMET ERCAN GEGEZ
ISTANBUL ATLAS UNIVERSITESI,ISTANBUL,VAKIF,2018,PROF.DR. VAHAP ENGIN GULAL
ISTANBUL AYDIN UNIVERSITESI,ISTANBUL,VAKIF,2007,PROF.DR. IBRAHIM HAKKI AYDIN
ISTANBUL BEYKENT UNIVERSITESI,ISTANBUL,VAKIF,1997,PROF.DR. VOLKAN ONGEL
ISTANBUL BILGI UNIVERSITESI,ISTANBUL,VAKIF,1996,PROF.DR. MUSTAFA EGE YAZGAN
ISTANBUL ESENYURT UNIVERSITESI,ISTANBUL,VAKIF,2013,PROF.DR. EBRU NERGIZ
ISTANBUL GALATA UNIVERSITESI,ISTANBUL,VAKIF,2019,PROF.DR. OZGUR CENGEL
ISTANBUL GEDIK UNIVERSITESI,ISTANBUL,VAKIF,2011,PROF.DR. AHMET KESIK
ISTANBUL GELISIM UNIVERSITESI,ISTANBUL,VAKIF,2011,PROF.DR. BAHRI SAHIN
ISTANBUL KENT UNIVERSITESI,ISTANBUL,VAKIF,2016,PROF.DR. MEHMET NECMETTIN ATSU
ISTANBUL KULTUR UNIVERSITESI,ISTANBUL,VAKIF,1997,PROF.DR. FADIME YUKSEKTEPE
ISTANBUL MEDENIYET UNIVERSITESI,ISTANBUL,DEVLET,2010,PROF.DR. GULFETTIN CELIK
ISTANBUL MEDIPOL UNIVERSITESI,ISTANBUL,VAKIF,2009,PROF.DR. OMER CERAN
ISTANBUL NISANTASI UNIVERSITESI,ISTANBUL,VAKIF,2009,PROF.DR. AYSEGUL KOMSUOGLU CITIPITIOGLU
ISTANBUL OKAN UNIVERSITESI,ISTANBUL,VAKIF,1999,PROF.DR. GULIZ MUGAN
ISTANBUL RUMELI UNIVERSITESI,ISTANBUL,VAKIF,2015,PROF.DR. MUSTAFA KARA
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,ISTANBUL,VAKIF,2010,PROF.DR. AHMET CEVAT ACAR
ISTANBUL SAGLIK VE SOSYAL BILIMLER MESLEK YUKSEKOKULU,ISTANBUL,VAKIF MYO,2010,
ISTANBUL SAGLIK VE TEKNOLOJI UNIVERSITESI,ISTANBUL,VAKIF,2018,PROF.DR. BUGRA OZEN
ISTANBUL SISLI MESLEK YUKSEKOKULU,ISTANBUL,VAKIF MYO,2012,
ISTANBUL TEKNIK UNIVERSITESI,ISTANBUL,DEVLET,1944,PROF.DR. ISMAIL KOYUNCU
ISTANBUL TICARET UNIVERSITESI,ISTANBUL,VAKIF,2001,PROF.DR. ABDULHAMIT AVSAR
ISTANBUL TOPKAPI UNIVERSITESI,ISTANBUL,VAKIF,2016,PROF.DR. EMRE ALKIN
ISTANBUL UNIVERSITESI,ISTANBUL,DEVLET,1933,PROF.DR. OSMAN BULENT ZULFIKAR
ISTANBUL UNIVERSITESI-CERRAHPASA,ISTANBUL,DEVLET,2018,PROF.DR. NURI AYDIN
ISTANBUL YENI YUZYIL UNIVERSITESI,ISTANBUL,VAKIF,2009,PROF.DR. ILHAN YASAR HACISALIHOGLU
ISTANBUL 29 MAYIS UNIVERSITESI,ISTANBUL,VAKIF,2010,PROF.DR. MUSTAFA SINANOGLU
ISTINYE UNIVERSITESI,ISTANBUL,VAKIF,2015,PROF.DR. ERKAN IBIS
IZMIR BAKIRCAY UNIVERSITESI,IZMIR,DEVLET,2016,PROF.DR. MUSTAFA BERKTAS
IZMIR DEMOKRASI UNIVERSITESI,IZMIR,DEVLET,2016,PROF.DR. BEDRIYE TUNCSIPER
IZMIR EKONOMI UNIVERSITESI,IZMIR,VAKIF,2001,PROF.DR. YUSUF HAKAN ABACIOGLU
IZMIR KATIP CELEBI UNIVERSITESI,IZMIR,DEVLET,2010,PROF.DR. SAFFET KOSE
IZMIR KAVRAM MESLEK YUKSEKOKULU,IZMIR,VAKIF MYO,2008,
IZMIR TINAZTEPE UNIVERSITESI,IZMIR,VAKIF,2018,PROF.DR. MUSTAFA GUVENCER
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,IZMIR,DEVLET,1992,PROF.DR. YUSUF BARAN
KADIR HAS UNIVERSITESI,ISTANBUL,VAKIF,1997,PROF.DR. MERYEM SONDAN DURUKANOGLU FEYIZ
KAFKAS UNIVERSITESI,KARS,DEVLET,1992,PROF.DR. HUSNU KAPU
KAHRAMANMARAS ISTIKLAL UNIVERSITESI,KAHRAMANMARAS,DEVLET,2018,PROF.DR. ISMAIL BAKAN
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,KAHRAMANMARAS,DEVLET,1992,PROF.DR. ALPTEKIN YASIM
KAPADOKYA UNIVERSITESI,NEVSEHIR,VAKIF,2005,PROF.DR. HASAN ALI KARASAR
KARABUK UNIVERSITESI,KARABUK,DEVLET,2007,PROF.DR. FATIH KIRISIK
KARADENIZ TEKNIK UNIVERSITESI,TRABZON,DEVLET,1955,PROF.DR. HAMDULLAH CUVALCI
KARAMANOGLU MEHMETBEY UNIVERSITESI,KARAMAN,DEVLET,2007,PROF.DR. MEHMET GAVGALI
KASTAMONU UNIVERSITESI,KASTAMONU,DEVLET,2006,PROF.DR. AHMET HAMDI TOPAL
KAYSERI UNIVERSITESI,KAYSERI,DEVLET,2018,PROF.DR. KURTULUS KARAMUSTAFA
KIRIKKALE UNIVERSITESI,KIRIKKALE,DEVLET,1992,PROF.DR. ERSAN ASLAN
KIRKLARELI UNIVERSITESI,KIRKLARELI,DEVLET,2007,PROF.DR. BULENT SENGORUR
KIRSEHIR AHI EVRAN UNIVERSITESI,KIRSEHIR,DEVLET,2006,PROF.DR. MUSTAFA KASIM KARAHOCAGIL
KILIS 7 ARALIK UNIVERSITESI,KILIS,DEVLET,2007,PROF.DR. MUSTAFA DOGAN KARACOSKUN
KOCAELI SAGLIK VE TEKNOLOJI UNIVERSITESI,KOCAELI,VAKIF,2020,PROF.DR. MUZAFFER ELMAS
KOCAELI UNIVERSITESI,KOCAELI,DEVLET,1992,PROF.DR. NUH ZAFER CANTURK
KOC UNIVERSITESI,ISTANBUL,VAKIF,1992,PROF.DR. METIN SITTI
KONYA GIDA VE TARIM UNIVERSITESI,KONYA,VAKIF,2013,PROF.DR. EROL TURAN
KONYA TEKNIK UNIVERSITESI,KONYA,DEVLET,2018,PROF.DR. OSMAN NURI CELIK
KTO KARATAY UNIVERSITESI,KONYA,VAKIF,2009,PROF.DR. FEVZI RIFAT ORTAC
KUTAHYA DUMLUPINAR UNIVERSITESI,KUTAHYA,DEVLET,1992,PROF.DR. SULEYMAN KIZILTOPRAK
KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,KUTAHYA,DEVLET,2018,PROF.DR. AHMET TEKIN
LOKMAN HEKIM UNIVERSITESI,ANKARA,VAKIF,2017,PROF.DR. FATIH GULTEKIN
MALATYA TURGUT OZAL UNIVERSITESI,MALATYA,DEVLET,2018,PROF.DR. RECEP BENTLI
MALTEPE UNIVERSITESI,ISTANBUL,VAKIF,1997,PROF.DR. EDIBE SOZEN
MANISA CELÂL BAYAR UNIVERSITESI,MANISA,DEVLET,1992,PROF.DR. RANA KIBAR
MARDIN ARTUKLU UNIVERSITESI,MARDIN,DEVLET,2007,PROF.DR. IBRAHIM OZCOSAR
MARMARA UNIVERSITESI,ISTANBUL,DEVLET,1982,PROF.DR. MUSTAFA KURT
MEF UNIVERSITESI,ISTANBUL,VAKIF,2012,PROF.DR. MUHAMMED SAHIN
MERSIN UNIVERSITESI,MERSIN,DEVLET,1992,PROF.DR. EROL YASAR
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,ISTANBUL,DEVLET,1982,PROF.DR. HANDAN INCI ELCI
MUDANYA UNIVERSITESI,BURSA,VAKIF,2022,PROF.DR. EMIN KARIP
MUGLA SITKI KOCMAN UNIVERSITESI,MUGLA,DEVLET,1992,PROF.DR. TURHAN KACAR
MUNZUR UNIVERSITESI,TUNCELI,DEVLET,2008,PROF.DR. KENAN PEKER
MUS ALPARSLAN UNIVERSITESI,MUS,DEVLET,2007,PROF.DR. MUSTAFA ALICAN
NECMETTIN ERBAKAN UNIVERSITESI,KONYA,DEVLET,2012,PROF.DR. CEM ZORLU
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,NEVSEHIR,DEVLET,2007,PROF.DR. SEMIH AKTEKIN
NIGDE OMER HALISDEMIR UNIVERSITESI,NIGDE,DEVLET,1992,PROF.DR. HASAN USLU
NUH NACI YAZGAN UNIVERSITESI,KAYSERI,VAKIF,2009,PROF.DR. AHMET FAZIL OZSOYLU
ONDOKUZ MAYIS UNIVERSITESI,SAMSUN,DEVLET,1975,PROF.DR. YAVUZ UNAL
ORDU UNIVERSITESI,ORDU,DEVLET,2006,PROF.DR. ORHAN BAS
ORTA DOGU TEKNIK UNIVERSITESI,ANKARA,DEVLET,1956,PROF.DR. MUSTAFA VERSAN KOK
OSMANIYE KORKUT ATA UNIVERSITESI,OSMANIYE,DEVLET,2007,PROF.DR. TURGAY UZUN
OSTIM TEKNIK UNIVERSITESI,ANKARA,VAKIF,2017,PROF.DR. MURAT ALI YULEK
OZYEGIN UNIVERSITESI,ISTANBUL,VAKIF,2007,PROF.DR. FERIDE ESRA GENCTURK
PAMUKKALE UNIVERSITESI,DENIZLI,DEVLET,1992,PROF.DR. AHMET KUTLUHAN
PIRI REIS UNIVERSITESI,ISTANBUL,VAKIF,2008,PROF.DR. NAFIZ ARICA
RECEP TAYYIP ERDOGAN UNIVERSITESI,RIZE,DEVLET,2006,PROF.DR. YUSUF YILMAZ
SABANCI UNIVERSITESI,ISTANBUL,VAKIF,1996,PROF.DR. YUSUF LEBLEBICI
SAGLIK BILIMLERI UNIVERSITESI,ISTANBUL,DEVLET,2015,PROF.DR. KEMALETTIN AYDIN
SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,SAKARYA,DEVLET,2018,PROF.DR. MEHMET SARIBIYIK
SAKARYA UNIVERSITESI,SAKARYA,DEVLET,1992,PROF.DR. HAMZA AL
SAMSUN UNIVERSITESI,SAMSUN,DEVLET,2018,PROF.DR. MAHMUT AYDIN
SANKO UNIVERSITESI,GAZIANTEP,VAKIF,2013,PROF.DR. GUNER DAGLI
SELCUK UNIVERSITESI,KONYA,DEVLET,1975,PROF.DR. METIN AKSOY
SIIRT UNIVERSITESI,SIIRT,DEVLET,2007,PROF.DR. NIHAT SINDAK
SINOP UNIVERSITESI,SINOP,DEVLET,2007,PROF.DR. SAKIR TASDEMIR
SIVAS BILIM VE TEKNOLOJI UNIVERSITESI,SIVAS,DEVLET,2018,PROF.DR. MEHMET KUL
SIVAS CUMHURIYET UNIVERSITESI,SIVAS,DEVLET,1974,PROF.DR. ALIM YILDIZ
SULEYMAN DEMIREL UNIVERSITESI,ISPARTA,DEVLET,1992,PROF.DR. MEHMET SALTAN
SIRNAK UNIVERSITESI,SIRNAK,DEVLET,2008,PROF.DR. ABDURRAHIM ALKIS
TARSUS UNIVERSITESI,MERSIN,DEVLET,2018,PROF.DR. ORHAN AYDIN
TED UNIVERSITESI,ANKARA,VAKIF,2009,PROF.DR. IHSAN SABUNCUOGLU
TEKIRDAG NAMIK KEMAL UNIVERSITESI,TEKIRDAG,DEVLET,2006,PROF.DR. MUMIN SAHIN
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,ANKARA,VAKIF,2003,PROF.DR. YUSUF SARINAY
TOKAT GAZIOSMANPASA UNIVERSITESI,TOKAT,DEVLET,1992,PROF.DR. FATIH YILMAZ
TOROS UNIVERSITESI,MERSIN,VAKIF,2009,PROF.DR. OMER ARIOZ
TRABZON UNIVERSITESI,TRABZON,DEVLET,2018,PROF.DR. EMIN ASIKKUTLU
TRAKYA UNIVERSITESI,EDIRNE,DEVLET,1982,PROF.DR. ERHAN TABAKOGLU
TURK HAVA KURUMU UNIVERSITESI,ANKARA,VAKIF,2011,PROF.DR. RAHMI ER
TURK-ALMAN UNIVERSITESI,ISTANBUL,DEVLET,2010,PROF.DR. CEMAL YILDIZ
"TURKIYE ULUSLARARASI ISLAM, BILIM VE TEKNOLOJI UNIVERSITESI",ISTANBUL,DEVLET,2015,
TURK-JAPON BILIM VE TEKNOLOJI UNIVERSITESI,ISTANBUL,DEVLET,2017,
UFUK UNIVERSITESI,ANKARA,VAKIF,1999,PROF.DR. TURKMEN DERDIYOK
USAK UNIVERSITESI,USAK,DEVLET,2006,PROF.DR. EKREM SAVAS
USKUDAR UNIVERSITESI,ISTANBUL,VAKIF,2011,PROF.DR. NAZIFE GUNGOR
VAN YUZUNCU YIL UNIVERSITESI,VAN,DEVLET,1982,PROF.DR. HAMDULLAH SEVLI
YALOVA UNIVERSITESI,YALOVA,DEVLET,2008,PROF.DR. MEHMET BAHCEKAPILI
YASAR UNIVERSITESI,IZMIR,VAKIF,2001,PROF.DR. LEVENT KANDILLER
YEDITEPE UNIVERSITESI,ISTANBUL,VAKIF,1996,
YILDIZ TEKNIK UNIVERSITESI,ISTANBUL,DEVLET,1982,PROF.DR. TAMER YILMAZ
YOZGAT BOZOK UNIVERSITESI,YOZGAT,DEVLET,2006,PROF.DR. EVREN YASAR
YUKSEK IHTISAS UNIVERSITESI,ANKARA,VAKIF,2013,PROF.DR. KADIRHAN SUNGUROGLU
ZONGULDAK BULENT ECEVIT UNIVERSITESI,ZONGULDAK,DEVLET,1992,PROF.DR. ISMAIL HAKKI OZOLCER
